symbol,scan_time,price,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_contracts,funding_rate
BTCUSDT,2026-04-30T05:06:18.137312+00:00,75566.6,-2.1999999999999997,77880.0,74939.9,614824087.5964,54.61,33.24,35.6,35.15,38.58,52.16,2297258418.2702003,4.3e-05
ETHUSDT,2026-04-30T05:06:18.137312+00:00,2242.54,-3.54,2346.45,2219.89,460493469.5778,55.57,37.53,36.94,34.49,36.37,46.97,675814074.5145999,-6.1e-05
SOLUSDT,2026-04-30T05:06:18.137312+00:00,82.481,-2.9000000000000004,85.661,81.4,160712333.7412,48.85,27.74,31.04,35.53,36.36,42.55,303963418.6778,0.000122
DOGEUSDT,2026-04-30T05:06:18.137312+00:00,0.10544,3.4099999999999997,0.11211,0.10096,106027395.826,58.53,39.93,46.12,51.57,59.55,65.22,91878022.51200001,8.5e-05
SKYAIUSDT,2026-04-30T05:06:18.137312+00:00,0.30104,31.169999999999998,0.31501,0.19978,85688160.4492,53.44,54.7,57.64,64.69,71.87,75.03,5540228.775199999,0.001875
PEPEUSDT,2026-04-30T05:06:18.137312+00:00,3.8231e-06,-3.0700000000000003,4.1592e-06,3.7368e-06,69036737.828552,52.06,35.29,37.22,40.53,45.57,52.88,30954984.961888,0.00014
XRPUSDT,2026-04-30T05:06:18.137312+00:00,1.36436,-2.17,1.4061,1.34491,45674645.9268,55.92,33.39,34.94,38.09,36.21,43.07,132817908.2904,-1.2e-05
HYPEUSDT,2026-04-30T05:06:18.137312+00:00,39.449,-2.81,40.882,39.167,40553086.7108,61.44,35.8,31.49,30.97,35.65,43.74,63950434.6386,-3.1e-05
BSBUSDT,2026-04-30T05:06:18.137312+00:00,0.54747,-38.769999999999996,0.94101,0.29843,39186721.0602,67.36,66.96,66.31,43.14,40.9,53.01,4925746.3563,0.000231
PENGUUSDT,2026-04-30T05:06:18.137312+00:00,0.009521,-8.21,0.010464,0.009317,34320998.39652,54.81,34.21,37.16,37.83,46.88,66.66,12266442.80776,2.9e-05
FILUSDT,2026-04-30T05:06:18.137312+00:00,0.9145,-3.32,0.9902,0.873,32367846.08068,51.29,33.07,39.18,42.73,46.53,49.21,9772419.9771,0.000215
ZEREBROUSDT,2026-04-30T05:06:18.137312+00:00,0.02629,32.86,0.03242,0.01968,31922264.22768,52.58,43.69,43.97,54.27,66.2,81.27,2434195.9636500003,0.000199
ADAUSDT,2026-04-30T05:06:18.137312+00:00,0.24547,-1.58,0.25397,0.23826,31454528.4116,63.0,41.47,43.67,43.79,44.27,43.17,43853053.4898,-1.3e-05
ZECUSDT,2026-04-30T05:06:18.137312+00:00,329.88,-2.73,339.36,318.05,31393526.4104,59.66,55.33,55.04,48.31,38.59,50.66,51692552.2704,8.4e-05
RAVEUSDT,2026-04-30T05:06:18.137312+00:00,0.74668,-11.08,0.85269,0.72281,28750434.4996,53.07,41.24,33.99,28.48,31.73,42.78,33155854.9916,0.000995
MUSDT,2026-04-30T05:06:18.137312+00:00,3.37322,-4.7,3.66069,3.26216,25944719.3492,28.72,35.87,45.33,40.47,33.72,46.69,17369182.0308,-0.000139
HUSDT,2026-04-30T05:06:18.137312+00:00,0.17456,-1.01,0.19179,0.17154,25345309.584,37.43,33.1,35.21,42.69,60.9,68.62,9718511.0448,0.000302
ASTERUSDT,2026-04-30T05:06:18.137312+00:00,0.65758,0.25,0.68085,0.64717,23999334.7966,65.84,42.01,42.04,44.65,49.57,45.18,33991741.09408,2.5e-05
AAVEUSDT,2026-04-30T05:06:18.137312+00:00,92.49,-5.48,98.72,91.72,22471191.3906,57.32,48.41,35.56,29.28,35.69,40.49,10672012.2942,-0.000102
