symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h
BTCUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,77650.0,77650.0,-2.4e-05,28809112,2237027546.8,-0.44999999999999996,79475.6,77457.4,523623394.8958,45.36,37.64,29.48,39.0,49.14,61.01,2230573434.1000004,0.289
ETHUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,2316.3,2316.3,-1.4e-05,26662804,617643854.66,-0.5499999999999999,2404.43,2311.86,370209924.7636,34.67,31.73,23.55,35.31,45.3,53.56,614099794.98,0.577
SOLUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,85.304,85.304,8.8e-05,37816239,322587645.16560006,-1.41,88.092,85.336,113307132.2344,31.99,25.67,23.23,32.25,42.48,49.36,316230142.7752,2.01
XRPUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,1.41458,1.41458,9e-05,9626476,136144362.1252,-0.96,1.44707,1.41236,77647383.7724,47.89,35.98,28.54,35.32,42.04,52.12,161530197.4858,-15.716
PEPEUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,3.8263e-06,3.8263e-06,0.000213,12251117,24374479.351924,-1.6500000000000001,4.0273e-06,3.808e-06,37228423.149424,44.13,38.95,29.18,37.62,46.59,54.7,23702636.699819997,2.834
ORCAUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,1.1997,1.1997,0.000847,7222991,8697925.7622,-27.3,1.8758,1.185,29205273.3218,59.67,39.81,32.38,35.25,51.1,66.97,8351612.292599999,4.147
ZECUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,356.4,356.4,6.1e-05,16780727,59793086.446399994,0.01,364.8,348.88,28733109.4538,45.51,54.56,49.42,49.06,59.2,63.5,59278699.3312,0.868
BSBUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,0.88451,0.88451,0.00066,798888,7038762.5016,28.299999999999997,0.94689,0.583,28590197.3,63.11,62.71,61.52,61.04,70.44,92.01,6566914.273800001,7.185
ZBTUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,0.18239,0.18239,6.7e-05,3607680,6556236.864,-2.07,0.2752,0.16029,25247491.5266,50.05,37.28,31.29,42.22,55.87,67.32,6198206.9564000005,5.776
HYPEUSDT,2026-04-27T07:58:58.902124+00:00,kucoin,42.364,42.364,-4.7e-05,14911800,63157437.72,2.78,43.596,40.949,23679998.48,32.82,39.22,42.55,54.67,57.33,56.73,62684902.61280001,0.754
